Batch_ID,Product_ID,Line_ID,Facility_ID,Production_Date,Shift,Quantity_Produced,Quantity_Rejected,Start_Time,End_Time,Cycle_Time_Seconds,Operator_ID,Quality_Check_Status,Material_Lot_Number,Downtime_Minutes,Energy_Consumption_kWh,Notes
PB00166,PRD10004,PL020,FAC009,2025-03-01,Morning,2150,20,07:00:00,15:00:00,11.2,OP460,Passed,ML-34567-60,20,1345,"New month production run"
PB00167,PRD10005,PL003,FAC001,2025-03-01,Morning,1950,16,07:00:00,15:00:00,12.3,OP145,Passed,ML-23456-60,25,1385,"New month production run"
PB00168,PRD10006,PL007,FAC002,2025-03-01,Morning,1850,23,07:00:00,15:00:00,13.0,OP280,Passed,ML-87654-60,35,1315,"New month production run"
PB00169,PRD10007,PL013,FAC004,2025-03-01,Morning,1650,13,07:00:00,15:00:00,14.5,OP356,Passed,ML-45678-60,15,1445,"New month production run"
PB00170,PRD10008,PL022,FAC009,2025-03-01,Morning,1450,12,07:00:00,15:00:00,16.6,OP463,Passed,ML-01234-60,10,1485,"New month production run"
PB00171,PRD10009,PL005,FAC001,2025-03-01,Morning,2050,19,07:00:00,15:00:00,11.7,OP148,Passed,ML-67890-60,25,1245,"New month production run"
PB00172,PRD10010,PL014,FAC004,2025-03-01,Morning,1850,17,07:00:00,15:00:00,13.0,OP359,Passed,ML-12345-60,20,1315,"New month production run"
PB00173,PRD10011,PL018,FAC006,2025-03-01,Morning,1750,15,07:00:00,15:00:00,13.7,OP384,Passed,ML-89012-60,30,1345,"New month production run"
PB00174,PRD10012,PL008,FAC002,2025-03-01,Morning,1550,11,07:00:00,15:00:00,15.5,OP283,Passed,ML-56789-60,15,1285,"New month production run"
PB00175,PRD10013,PL024,FAC009,2025-03-01,Morning,1950,22,07:00:00,15:00:00,12.3,OP466,Passed,ML-90123-60,35,1215,"New month production run"
PB00176,PRD10014,PL009,FAC002,2025-03-01,Morning,1750,14,07:00:00,15:00:00,13.7,OP286,Passed,ML-67890-60,25,1285,"New month production run"
PB00177,PRD10015,PL015,FAC004,2025-03-01,Morning,1650,13,07:00:00,15:00:00,14.5,OP362,Passed,ML-34567-60,20,1345,"New month production run"
PB00178,PRD10016,PL015,FAC004,2025-03-01,Afternoon,1600,16,15:00:00,23:00:00,15.0,OP363,Passed,ML-34567-60,30,1355,"New month production run"
PB00179,PRD10017,PL010,FAC002,2025-03-01,Morning,1450,7,07:00:00,15:00:00,16.6,OP289,Passed,ML-12345-60,40,1615,"New month production run"
PB00180,PRD10018,PL010,FAC002,2025-03-01,Afternoon,1350,6,15:00:00,23:00:00,17.8,OP290,Passed,ML-12345-60,35,1685,"New month production run"
PB00181,PRD10019,PL019,FAC006,2025-03-01,Morning,1250,5,07:00:00,15:00:00,19.2,OP387,Passed,ML-78901-60,25,1745,"New month production run"
PB00182,PRD10020,PL019,FAC006,2025-03-01,Afternoon,1300,8,15:00:00,23:00:00,18.5,OP388,Passed,ML-78901-60,30,1715,"New month production run"
PB00183,PRD10001,PL021,FAC009,2025-03-01,Morning,2850,32,07:00:00,15:00:00,8.4,OP469,Passed,ML-23456-60,45,1255,"New month production run"
PB00184,PRD10002,PL006,FAC002,2025-03-01,Morning,2650,44,07:00:00,15:00:00,9.1,OP292,Passed,ML-90123-60,60,1185,"New month production run"
PB00185,PRD10001,PL016,FAC006,2025-03-01,Morning,2600,39,07:00:00,15:00:00,9.2,OP390,Passed,ML-56789-60,65,1225,"New month production run"
PB00186,PRD10003,PL002,FAC001,2025-03-15,Morning,2700,27,07:00:00,15:00:00,8.9,OP128,Passed,ML-98765-74,35,1275,"Mid-month production run"
PB00187,PRD10004,PL002,FAC001,2025-03-15,Afternoon,2200,21,15:00:00,23:00:00,10.9,OP129,Passed,ML-98765-74,30,1335,"Mid-month production run"
PB00188,PRD10005,PL017,FAC006,2025-03-15,Morning,2000,17,07:00:00,15:00:00,12.0,OP363,Passed,ML-23456-74,25,1375,"Mid-month production run"
PB00189,PRD10006,PL003,FAC001,2025-03-15,Morning,1900,23,07:00:00,15:00:00,12.6,OP132,Passed,ML-87654-74,35,1305,"Mid-month production run"
PB00190,PRD10007,PL004,FAC001,2025-03-15,Morning,1700,14,07:00:00,15:00:00,14.1,OP135,Passed,ML-45678-74,15,1435,"Mid-month production run"
PB00191,PRD10008,PL004,FAC001,2025-03-15,Afternoon,1500,13,15:00:00,23:00:00,16.0,OP136,Passed,ML-45678-74,20,1475,"Mid-month production run"
PB00192,PRD10009,PL023,FAC009,2025-03-15,Morning,2100,19,07:00:00,15:00:00,11.4,OP442,Passed,ML-67890-74,25,1235,"Mid-month production run"
PB00193,PRD10010,PL005,FAC001,2025-03-15,Morning,1900,18,07:00:00,15:00:00,12.6,OP138,Passed,ML-12345-74,20,1305,"Mid-month production run"
PB00194,PRD10011,PL018,FAC006,2025-03-15,Morning,1800,16,07:00:00,15:00:00,13.3,OP366,Passed,ML-89012-74,30,1335,"Mid-month production run"
PB00195,PRD10012,PL008,FAC002,2025-03-15,Morning,1600,12,07:00:00,15:00:00,15.0,OP256,Passed,ML-56789-74,15,1275,"Mid-month production run"
PB00196,PRD10013,PL024,FAC009,2025-03-15,Morning,2000,22,07:00:00,15:00:00,12.0,OP445,Passed,ML-90123-74,35,1205,"Mid-month production run"
PB00197,PRD10014,PL009,FAC002,2025-03-15,Morning,1800,15,07:00:00,15:00:00,13.3,OP259,Passed,ML-67890-74,25,1275,"Mid-month production run"
PB00198,PRD10015,PL015,FAC004,2025-03-15,Afternoon,1700,14,15:00:00,23:00:00,14.1,OP335,Passed,ML-34567-74,20,1335,"Mid-month production run"
PB00199,PRD10016,PL015,FAC004,2025-03-15,Morning,1650,17,07:00:00,15:00:00,14.5,OP336,Passed,ML-34567-74,30,1345,"Mid-month production run"
PB00200,PRD10017,PL010,FAC002,2025-03-15,Afternoon,1500,8,15:00:00,23:00:00,16.0,OP262,Passed,ML-12345-74,40,1605,"Mid-month production run"
PB00201,PRD10018,PL010,FAC002,2025-03-15,Morning,1400,7,07:00:00,15:00:00,17.1,OP263,Passed,ML-12345-74,35,1675,"Mid-month production run"
PB00202,PRD10019,PL019,FAC006,2025-03-15,Afternoon,1300,6,15:00:00,23:00:00,18.5,OP369,Passed,ML-78901-74,25,1735,"Mid-month production run"
PB00203,PRD10020,PL019,FAC006,2025-03-15,Morning,1350,9,07:00:00,15:00:00,17.8,OP370,Passed,ML-78901-74,30,1705,"Mid-month production run"
PB00204,PRD10001,PL006,FAC002,2025-03-31,Morning,3100,31,07:00:00,15:00:00,7.7,OP265,Passed,ML-78542-90,40,1215,"Month-end production run"
PB00205,PRD10002,PL001,FAC001,2025-03-31,Morning,2900,41,07:00:00,15:00:00,8.3,OP142,Passed,ML-65432-90,50,1165,"Month-end production run"
PB00206,PRD10003,PL020,FAC009,2025-03-31,Morning,2750,26,07:00:00,15:00:00,8.7,OP448,Passed,ML-98765-90,30,1275,"Month-end production run"
PB00207,PRD10004,PL011,FAC004,2025-03-31,Morning,2250,19,07:00:00,15:00:00,10.7,OP338,Passed,ML-34567-90,20,1335,"Month-end production run"
PB00208,PRD10005,PL007,FAC002,2025-03-31,Morning,2050,16,07:00:00,15:00:00,11.7,OP268,Passed,ML-23456-90,25,1375,"Month-end production run"
PB00209,PRD10006,PL017,FAC006,2025-03-31,Morning,1950,21,07:00:00,15:00:00,12.3,OP372,Passed,ML-87654-90,30,1305,"Month-end production run"
PB00210,PRD10007,PL022,FAC009,2025-03-31,Morning,1750,13,07:00:00,15:00:00,13.7,OP451,Passed,ML-45678-90,15,1435,"Month-end production run"
PB00211,PRD10008,PL013,FAC004,2025-03-31,Morning,1550,12,07:00:00,15:00:00,15.5,OP341,Passed,ML-01234-90,10,1475,"Month-end production run"
PB00212,PRD10009,PL014,FAC004,2025-03-31,Morning,2150,18,07:00:00,15:00:00,11.2,OP344,Passed,ML-67890-90,20,1235,"Month-end production run"
PB00213,PRD10010,PL023,FAC009,2025-03-31,Morning,1950,17,07:00:00,15:00:00,12.3,OP454,Passed,ML-12345-90,15,1305,"Month-end production run"
PB00214,PRD10011,PL008,FAC002,2025-03-31,Morning,1850,15,07:00:00,15:00:00,13.0,OP271,Passed,ML-89012-90,25,1335,"Month-end production run"
PB00215,PRD10012,PL018,FAC006,2025-03-31,Morning,1650,11,07:00:00,15:00:00,14.5,OP375,Passed,ML-56789-90,10,1275,"Month-end production run"
PB00216,PRD10013,PL009,FAC002,2025-03-31,Morning,2050,21,07:00:00,15:00:00,11.7,OP274,Passed,ML-90123-90,30,1205,"Month-end production run"
PB00217,PRD10014,PL024,FAC009,2025-03-31,Morning,1850,14,07:00:00,15:00:00,13.0,OP457,Passed,ML-67890-90,20,1275,"Month-end production run"
PB00218,PRD10015,PL015,FAC004,2025-03-31,Morning,1750,13,07:00:00,15:00:00,13.7,OP347,Passed,ML-34567-90,15,1335,"Month-end production run"
PB00219,PRD10016,PL015,FAC004,2025-03-31,Afternoon,1700,16,15:00:00,23:00:00,14.1,OP348,Passed,ML-34567-90,25,1345,"Month-end production run"
PB00220,PRD10017,PL010,FAC002,2025-03-31,Morning,1550,7,07:00:00,15:00:00,15.5,OP277,Passed,ML-12345-90,35,1605,"Month-end production run"
PB00221,PRD10018,PL010,FAC002,2025-03-31,Afternoon,1450,6,15:00:00,23:00:00,16.6,OP278,Passed,ML-12345-90,30,1675,"Month-end production run"
PB00222,PRD10019,PL019,FAC006,2025-03-31,Morning,1350,5,07:00:00,15:00:00,17.8,OP378,Passed,ML-78901-90,20,1725,"Month-end production run"
PB00223,PRD10020,PL019,FAC006,2025-03-31,Afternoon,1400,8,15:00:00,23:00:00,17.1,OP379,Passed,ML-78901-90,25,1695,"Month-end production run"
PB00224,PRD10001,PL012,FAC004,2025-03-31,Morning,3050,33,07:00:00,15:00:00,7.9,OP350,Passed,ML-78542-90,45,1205,"Month-end production run"
PB00225,PRD10002,PL016,FAC006,2025-03-31,Morning,2850,45,07:00:00,15:00:00,8.4,OP381,Passed,ML-65432-90,55,1155,"Month-end production run"
PB00226,PRD10003,PL011,FAC004,2025-03-31,Morning,2700,28,07:00:00,15:00:00,8.9,OP353,Passed,ML-98765-90,35,1265,"Month-end production run"
PB00227,PRD10004,PL020,FAC009,2025-03-31,Morning,2200,22,07:00:00,15:00:00,10.9,OP460,Passed,ML-34567-90,25,1325,"Month-end production run"
PB00228,PRD10005,PL003,FAC001,2025-03-31,Morning,2000,18,07:00:00,15:00:00,12.0,OP145,Passed,ML-23456-90,30,1365,"Month-end production run"
PB00229,PRD10006,PL007,FAC002,2025-03-31,Morning,1900,25,07:00:00,15:00:00,12.6,OP280,Passed,ML-87654-90,40,1295,"Month-end production run"
PB00230,PRD10007,PL013,FAC004,2025-03-31,Morning,1700,15,07:00:00,15:00:00,14.1,OP356,Passed,ML-45678-90,20,1425,"Month-end production run"
PB00231,PRD10008,PL022,FAC009,2025-03-31,Morning,1500,14,07:00:00,15:00:00,16.0,OP463,Passed,ML-01234-90,15,1465,"Month-end production run"
PB00232,PRD10009,PL005,FAC001,2025-03-31,Morning,2100,21,07:00:00,15:00:00,11.4,OP148,Passed,ML-67890-90,30,1225,"Month-end production run"
PB00233,PRD10010,PL014,FAC004,2025-03-31,Morning,1900,19,07:00:00,15:00:00,12.6,OP359,Passed,ML-12345-90,25,1295,"Month-end production run"
PB00234,PRD10011,PL018,FAC006,2025-03-31,Morning,1800,17,07:00:00,15:00:00,13.3,OP384,Passed,ML-89012-90,35,1325,"Month-end production run"
PB00235,PRD10012,PL008,FAC002,2025-03-31,Morning,1600,12,07:00:00,15:00:00,15.0,OP283,Passed,ML-56789-90,20,1265,"Month-end production run"
PB00236,PRD10013,PL024,FAC009,2025-03-31,Morning,2000,23,07:00:00,15:00:00,12.0,OP466,Passed,ML-90123-90,40,1195,"Month-end production run"
PB00237,PRD10014,PL009,FAC002,2025-03-31,Morning,1800,16,07:00:00,15:00:00,13.3,OP286,Passed,ML-67890-90,30,1265,"Month-end production run"
PB00238,PRD10015,PL015,FAC004,2025-03-31,Morning,1700,15,07:00:00,15:00:00,14.1,OP362,Passed,ML-34567-90,25,1325,"Month-end production run"
PB00239,PRD10016,PL015,FAC004,2025-03-31,Afternoon,1650,18,15:00:00,23:00:00,14.5,OP363,Passed,ML-34567-90,35,1335,"Month-end production run"
PB00240,PRD10017,PL010,FAC002,2025-03-31,Morning,1500,8,07:00:00,15:00:00,16.0,OP289,Passed,ML-12345-90,45,1595,"Month-end production run"
PB00241,PRD10018,PL010,FAC002,2025-03-31,Afternoon,1400,7,15:00:00,23:00:00,17.1,OP290,Passed,ML-12345-90,40,1665,"Month-end production run"
PB00242,PRD10019,PL019,FAC006,2025-03-31,Morning,1300,6,07:00:00,15:00:00,18.5,OP387,Passed,ML-78901-90,30,1715,"Month-end production run"
PB00243,PRD10020,PL019,FAC006,2025-03-31,Afternoon,1350,9,15:00:00,23:00:00,17.8,OP388,Passed,ML-78901-90,35,1685,"Month-end production run"
PB00244,PRD10001,PL021,FAC009,2025-03-31,Morning,2900,31,07:00:00,15:00:00,8.3,OP469,Passed,ML-23456-90,40,1235,"Month-end production run"
PB00245,PRD10002,PL006,FAC002,2025-03-31,Morning,2700,46,07:00:00,15:00:00,8.9,OP292,Passed,ML-90123-90,60,1175,"Month-end production run"
PB00246,PRD10001,PL016,FAC006,2025-03-31,Morning,2650,40,07:00:00,15:00:00,9.1,OP390,Passed,ML-56789-90,65,1215,"Month-end production run"
