BatchSupplier_ID,Batch_ID,Supplier_ID,Material_Lot_Number,Delivery_Date,Quality_Check_Status,On_Time_Delivery,Quantity_Received,Quantity_Accepted,Rejection_Rate,Payment_Terms,Invoice_Number,Payment_Status,Notes
BS00164,PB00246,SPL100004,ML-56789-90-S4,2025-03-18,Passed,No,5850,5750,1.71,Net 30,INV-SPL100004-45694,Paid,"Steel components for end plates"
BS00165,PB00246,SPL100006,ML-56789-90-S6,2025-03-16,Passed,Yes,3050,3000,1.64,Net 60,INV-SPL100006-56805,Paid,"Rubber components for gaskets"
BS00166,PB00246,SPL100007,ML-56789-90-S7,2025-03-17,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100007-67906,Paid,"Rubber components for valves"
BS00167,PB00246,SPL100008,ML-56789-90-S8,2025-03-15,Passed,Yes,5850,5750,1.71,Net 60,INV-SPL100008-78917,Paid,"Rubber components for seals"
BS00168,PB00246,SPL100016,ML-56789-90-S16,2025-03-14,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100016-89028,Paid,"Filter media components"
BS00169,PB00246,SPL100017,ML-56789-90-S17,2025-03-16,Passed,Yes,2950,2900,1.69,Net 30,INV-SPL100017-90139,Paid,"Filter media components"
BS00170,PB00246,SPL100018,ML-56789-90-S18,2025-03-17,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100018-01250,Paid,"Filter media components"
BS00171,PB00002,SPL100001,ML-65432-01-S1,2024-12-15,Passed,Yes,3200,3150,1.56,Net 60,INV-SPL100001-12362,Paid,"Steel components for economy filter"
BS00172,PB00002,SPL100002,ML-65432-01-S2,2024-12-16,Passed,Yes,2600,2550,1.92,Net 45,INV-SPL100002-23473,Paid,"Steel components for economy filter"
BS00173,PB00002,SPL100003,ML-65432-01-S3,2024-12-14,Passed,Yes,3000,2950,1.67,Net 60,INV-SPL100003-34584,Paid,"Steel components for economy filter"
BS00174,PB00002,SPL100004,ML-65432-01-S4,2024-12-17,Passed,No,5500,5400,1.82,Net 30,INV-SPL100004-45695,Paid,"Steel components for economy filter"
BS00175,PB00002,SPL100006,ML-65432-01-S6,2024-12-15,Passed,Yes,2800,2750,1.79,Net 60,INV-SPL100006-56806,Paid,"Rubber components for economy filter"
BS00176,PB00002,SPL100007,ML-65432-01-S7,2024-12-16,Passed,Yes,2700,2650,1.85,Net 45,INV-SPL100007-67907,Paid,"Rubber components for economy filter"
BS00177,PB00002,SPL100008,ML-65432-01-S8,2024-12-14,Passed,Yes,5500,5400,1.82,Net 60,INV-SPL100008-78918,Paid,"Rubber components for economy filter"
BS00178,PB00002,SPL100016,ML-65432-01-S16,2024-12-13,Passed,Yes,2800,2750,1.79,Net 45,INV-SPL100016-89029,Paid,"Filter media for economy filter"
BS00179,PB00002,SPL100017,ML-65432-01-S17,2024-12-15,Passed,Yes,2700,2650,1.85,Net 30,INV-SPL100017-90140,Paid,"Filter media for economy filter"
BS00180,PB00002,SPL100018,ML-65432-01-S18,2024-12-16,Passed,Yes,2750,2700,1.82,Net 45,INV-SPL100018-01251,Paid,"Filter media for economy filter"
BS00181,PB00003,SPL100001,ML-98765-01-S1,2024-12-15,Passed,Yes,3000,2950,1.67,Net 60,INV-SPL100001-12363,Paid,"Steel components for heavy duty filter"
BS00182,PB00003,SPL100002,ML-98765-01-S2,2024-12-16,Passed,Yes,2400,2350,2.08,Net 45,INV-SPL100002-23474,Paid,"Steel components for heavy duty filter"
BS00183,PB00003,SPL100003,ML-98765-01-S3,2024-12-14,Passed,Yes,2800,2750,1.79,Net 60,INV-SPL100003-34585,Paid,"Steel components for heavy duty filter"
BS00184,PB00003,SPL100004,ML-98765-01-S4,2024-12-17,Passed,No,5200,5100,1.92,Net 30,INV-SPL100004-45696,Paid,"Steel components for heavy duty filter"
BS00185,PB00003,SPL100006,ML-98765-01-S6,2024-12-15,Passed,Yes,2600,2550,1.92,Net 60,INV-SPL100006-56807,Paid,"Rubber components for heavy duty filter"
BS00186,PB00003,SPL100007,ML-98765-01-S7,2024-12-16,Passed,Yes,2500,2450,2.00,Net 45,INV-SPL100007-67908,Paid,"Rubber components for heavy duty filter"
BS00187,PB00003,SPL100008,ML-98765-01-S8,2024-12-14,Passed,Yes,5200,5100,1.92,Net 60,INV-SPL100008-78919,Paid,"Rubber components for heavy duty filter"
BS00188,PB00003,SPL100016,ML-98765-01-S16,2024-12-13,Passed,Yes,2600,2550,1.92,Net 45,INV-SPL100016-89030,Paid,"Filter media for heavy duty filter"
BS00189,PB00003,SPL100017,ML-98765-01-S17,2024-12-15,Passed,Yes,2500,2450,2.00,Net 30,INV-SPL100017-90141,Paid,"Filter media for heavy duty filter"
BS00190,PB00003,SPL100018,ML-98765-01-S18,2024-12-16,Passed,Yes,2550,2500,1.96,Net 45,INV-SPL100018-01252,Paid,"Filter media for heavy duty filter"
